INDEX,OFNS_DESC,Latitude,Longitude,CMPLNT_FR_TM
5101930,MURDER & NON-NEGL. MANSLAUGHTER,40.648265282,-73.955752145,01:05:00
5103068,MURDER & NON-NEGL. MANSLAUGHTER,40.837321839,-73.9101166,00:40:00
5107748,MURDER & NON-NEGL. MANSLAUGHTER,40.624236772,-74.080755533,12:45:00
5107854,MURDER & NON-NEGL. MANSLAUGHTER,40.832111106,-73.948294253,08:14:00
5107855,MURDER & NON-NEGL. MANSLAUGHTER,40.832111106,-73.948294253,08:14:00
5108627,MURDER & NON-NEGL. MANSLAUGHTER,40.646328278,-73.929804249,12:51:00
5114269,MURDER & NON-NEGL. MANSLAUGHTER,40.83987167,-73.888139806,20:24:00
5115641,MURDER & NON-NEGL. MANSLAUGHTER,40.806617895,-73.936765755,18:00:00
5117003,MURDER & NON-NEGL. MANSLAUGHTER,40.65758692,-73.92905355,15:31:00
5118455,MURDER & NON-NEGL. MANSLAUGHTER,40.753874924,-73.98482044,02:20:00
5121311,MURDER & NON-NEGL. MANSLAUGHTER,40.809413199,-73.944367164,18:45:00
5121901,MURDER & NON-NEGL. MANSLAUGHTER,40.841690923,-73.837040057,19:00:00
5122650,MURDER & NON-NEGL. MANSLAUGHTER,40.820986429,-73.892228964,20:45:00
5122770,MURDER & NON-NEGL. MANSLAUGHTER,40.679066318,-73.915067287,18:21:00
5125199,MURDER & NON-NEGL. MANSLAUGHTER,40.845984791,-73.907462791,20:29:00
5125524,MURDER & NON-NEGL. MANSLAUGHTER,40.669758106,-73.802651938,12:22:00
5125897,MURDER & NON-NEGL. MANSLAUGHTER,40.703807407,-73.952858808,00:20:00
5128140,MURDER & NON-NEGL. MANSLAUGHTER,40.799086317,-73.947619211,01:50:00
5130465,MURDER & NON-NEGL. MANSLAUGHTER,40.638689107,-73.916812154,15:02:00
5133479,MURDER & NON-NEGL. MANSLAUGHTER,40.689141332,-73.820854715,00:15:00
5134115,MURDER & NON-NEGL. MANSLAUGHTER,40.626986011,-73.914016783,21:17:00
5135252,MURDER & NON-NEGL. MANSLAUGHTER,40.837683801,-73.913256606,20:35:00
5139735,MURDER & NON-NEGL. MANSLAUGHTER,40.667862819,-73.905388469,10:24:00
5139932,MURDER & NON-NEGL. MANSLAUGHTER,40.69119702,-73.835460637,02:00:00
5139969,MURDER & NON-NEGL. MANSLAUGHTER,40.667533427,-73.86424849,00:43:00
5141731,MURDER & NON-NEGL. MANSLAUGHTER,40.849776217,-73.937527165,23:19:00
5142052,MURDER & NON-NEGL. MANSLAUGHTER,40.823423869,-73.901583061,14:50:00
5143102,MURDER & NON-NEGL. MANSLAUGHTER,40.790325047,-73.941710718,20:30:00
5144185,MURDER & NON-NEGL. MANSLAUGHTER,40.621066254,-74.084955452,21:07:00
5144612,MURDER & NON-NEGL. MANSLAUGHTER,40.874180976,-73.833872447,12:00:00
5146814,MURDER & NON-NEGL. MANSLAUGHTER,40.743417442,-73.878467752,12:15:00
5147333,MURDER & NON-NEGL. MANSLAUGHTER,40.824798921,-73.908175151,23:59:00
5147427,MURDER & NON-NEGL. MANSLAUGHTER,40.678435246,-73.927430623,20:30:00
5148736,MURDER & NON-NEGL. MANSLAUGHTER,40.668529332,-73.848497285,18:25:00
5151417,MURDER & NON-NEGL. MANSLAUGHTER,40.823876276,-73.891862968,12:30:00
5160601,MURDER & NON-NEGL. MANSLAUGHTER,40.759150161,-73.960843907,05:30:00
5162923,MURDER & NON-NEGL. MANSLAUGHTER,40.66357893,-73.896646458,09:28:00
5167687,MURDER & NON-NEGL. MANSLAUGHTER,40.753532701,-73.994536892,13:20:00
5171345,MURDER & NON-NEGL. MANSLAUGHTER,40.837129445,-73.867194698,14:45:00
5172418,MURDER & NON-NEGL. MANSLAUGHTER,40.829952373,-73.930051383,21:14:00
5174270,MURDER & NON-NEGL. MANSLAUGHTER,40.819320486,-73.915383261,13:25:00
5175276,MURDER & NON-NEGL. MANSLAUGHTER,40.821455962,-73.866203487,22:40:00
5175346,MURDER & NON-NEGL. MANSLAUGHTER,40.669372829,-73.920393103,20:49:00
5178197,MURDER & NON-NEGL. MANSLAUGHTER,40.846278812,-73.89205787,23:40:00
5178983,MURDER & NON-NEGL. MANSLAUGHTER,40.697233391,-73.78431906,02:13:00
5180127,MURDER & NON-NEGL. MANSLAUGHTER,40.6784693,-73.782447304,04:15:00
5186465,MURDER & NON-NEGL. MANSLAUGHTER,40.852381909,-73.913515771,19:27:00
5187612,MURDER & NON-NEGL. MANSLAUGHTER,40.82294535,-73.95198314,21:50:00
5187695,MURDER & NON-NEGL. MANSLAUGHTER,40.812699137,-73.921619736,01:50:00
5196175,MURDER & NON-NEGL. MANSLAUGHTER,40.822262072,-73.940537398,16:32:00
5198523,MURDER & NON-NEGL. MANSLAUGHTER,40.841944334,-73.914248556,23:30:00
5202015,MURDER & NON-NEGL. MANSLAUGHTER,40.693415665,-73.848069308,00:47:00
5204733,MURDER & NON-NEGL. MANSLAUGHTER,40.842803108,-73.897076401,19:25:00
5206572,MURDER & NON-NEGL. MANSLAUGHTER,40.903468077,-73.844630036,21:14:00
5207939,MURDER & NON-NEGL. MANSLAUGHTER,40.838778865,-73.864701374,16:34:00
5208215,MURDER & NON-NEGL. MANSLAUGHTER,40.606351698,-73.941990184,07:45:00
5210304,MURDER & NON-NEGL. MANSLAUGHTER,40.798285226,-73.962673731,21:27:00
5211930,MURDER & NON-NEGL. MANSLAUGHTER,40.67278405,-73.866472894,17:58:00
5212583,MURDER & NON-NEGL. MANSLAUGHTER,40.68773221,-73.937491478,00:07:00
5214576,MURDER & NON-NEGL. MANSLAUGHTER,40.810524424,-73.938214246,23:52:00
5215011,MURDER & NON-NEGL. MANSLAUGHTER,40.840783858,-73.936252607,12:54:00
5215966,MURDER & NON-NEGL. MANSLAUGHTER,40.568827644,-74.121181494,18:25:00
5216406,MURDER & NON-NEGL. MANSLAUGHTER,40.876743654,-73.90622669,04:15:00
5217080,MURDER & NON-NEGL. MANSLAUGHTER,40.842803108,-73.897076401,19:25:00
5217461,MURDER & NON-NEGL. MANSLAUGHTER,40.650957959,-73.955865681,09:40:00
5218319,MURDER & NON-NEGL. MANSLAUGHTER,40.720450333,-73.97491448,17:35:00
5219954,MURDER & NON-NEGL. MANSLAUGHTER,40.638667594,-74.022463404,09:00:00
5220664,MURDER & NON-NEGL. MANSLAUGHTER,40.708227855,-73.912862387,23:26:00
5221381,MURDER & NON-NEGL. MANSLAUGHTER,40.693140904,-73.945859731,07:24:00
5222305,MURDER & NON-NEGL. MANSLAUGHTER,40.732876229,-73.860333942,18:30:00
5222338,MURDER & NON-NEGL. MANSLAUGHTER,40.657743089,-73.909136741,00:42:00
5222747,MURDER & NON-NEGL. MANSLAUGHTER,40.672585871,-73.873261458,09:35:00
5222923,MURDER & NON-NEGL. MANSLAUGHTER,40.662518015,-73.927011804,00:37:00
5223664,MURDER & NON-NEGL. MANSLAUGHTER,40.641068098,-73.962469806,17:45:00
5223837,MURDER & NON-NEGL. MANSLAUGHTER,40.820663494,-73.956385411,14:23:00
5226643,MURDER & NON-NEGL. MANSLAUGHTER,40.693702669,-73.780915483,04:40:00
5227745,MURDER & NON-NEGL. MANSLAUGHTER,40.819718657,-73.942389497,13:50:00
5230583,MURDER & NON-NEGL. MANSLAUGHTER,40.671168243,-73.909688025,15:11:00
5231699,MURDER & NON-NEGL. MANSLAUGHTER,40.855961786,-73.839795807,20:56:00
5232209,MURDER & NON-NEGL. MANSLAUGHTER,40.830798914,-73.826948796,11:00:00
5233064,MURDER & NON-NEGL. MANSLAUGHTER,40.686395734,-73.949095931,22:17:00
5240999,MURDER & NON-NEGL. MANSLAUGHTER,40.672674098,-73.861689307,23:53:00
5244882,MURDER & NON-NEGL. MANSLAUGHTER,40.726529377,-73.734864538,23:42:00
5244910,MURDER & NON-NEGL. MANSLAUGHTER,40.675309538,-73.788052771,22:12:00
5249060,MURDER & NON-NEGL. MANSLAUGHTER,40.653674996,-73.96278707,19:40:00
5250320,MURDER & NON-NEGL. MANSLAUGHTER,40.673324484,-73.91539184,22:23:00
5251111,MURDER & NON-NEGL. MANSLAUGHTER,40.719840334,-73.962400198,01:28:00
5252434,MURDER & NON-NEGL. MANSLAUGHTER,40.663341242,-73.96017925,04:14:00
5252449,MURDER & NON-NEGL. MANSLAUGHTER,40.663133397,-73.962432161,03:49:00
5253803,MURDER & NON-NEGL. MANSLAUGHTER,40.640366106,-73.890520884,01:00:00
5254229,MURDER & NON-NEGL. MANSLAUGHTER,40.70284629,-73.812428901,21:25:00
5254358,MURDER & NON-NEGL. MANSLAUGHTER,40.832941761,-73.935432593,18:23:00
5254844,MURDER & NON-NEGL. MANSLAUGHTER,40.675646399,-73.927184904,04:02:00
5254845,MURDER & NON-NEGL. MANSLAUGHTER,40.675646399,-73.927184904,04:02:00
5255568,MURDER & NON-NEGL. MANSLAUGHTER,40.628089722,-73.946103435,19:30:00
5256808,MURDER & NON-NEGL. MANSLAUGHTER,40.674986972,-73.945849231,22:27:00
5257226,MURDER & NON-NEGL. MANSLAUGHTER,40.615912856,-73.920737805,12:29:00
5258103,MURDER & NON-NEGL. MANSLAUGHTER,40.710739715,-73.803872427,21:15:00
5261371,MURDER & NON-NEGL. MANSLAUGHTER,40.639163716,-73.994427347,12:20:00
5263081,MURDER & NON-NEGL. MANSLAUGHTER,40.673341037,-73.932083027,03:40:00
5263159,MURDER & NON-NEGL. MANSLAUGHTER,40.69726035,-73.977462042,02:23:00
5263174,MURDER & NON-NEGL. MANSLAUGHTER,40.643506043,-73.902615955,02:11:00
5271520,MURDER & NON-NEGL. MANSLAUGHTER,40.629597831,-73.942942693,01:15:00
5272938,MURDER & NON-NEGL. MANSLAUGHTER,40.595792272,-73.984064191,01:33:00
5273422,MURDER & NON-NEGL. MANSLAUGHTER,40.819778814,-73.936720733,23:44:00
5274983,MURDER & NON-NEGL. MANSLAUGHTER,40.689567811,-73.832478977,18:07:00
5275081,MURDER & NON-NEGL. MANSLAUGHTER,40.84711223,-73.91747681,16:13:00
5275385,MURDER & NON-NEGL. MANSLAUGHTER,40.836266064,-73.911328663,21:20:00
5279181,MURDER & NON-NEGL. MANSLAUGHTER,40.67459999,-73.930574822,20:14:00
5279252,MURDER & NON-NEGL. MANSLAUGHTER,40.659114761,-73.923216654,22:24:00
5282832,MURDER & NON-NEGL. MANSLAUGHTER,40.819596981,-73.918186548,04:38:00
5282959,MURDER & NON-NEGL. MANSLAUGHTER,40.689819067,-73.831612927,01:59:00
5282965,MURDER & NON-NEGL. MANSLAUGHTER,40.640790702,-73.932141379,01:50:00
5283814,MURDER & NON-NEGL. MANSLAUGHTER,40.67941151,-73.858592765,13:45:00
5283815,MURDER & NON-NEGL. MANSLAUGHTER,40.67941151,-73.858592765,13:45:00
5285491,MURDER & NON-NEGL. MANSLAUGHTER,40.690654842,-73.908042562,00:51:00
5286526,MURDER & NON-NEGL. MANSLAUGHTER,40.818407371,-73.887507503,13:29:00
5288346,MURDER & NON-NEGL. MANSLAUGHTER,40.674993193,-73.915234704,00:31:00
5289715,MURDER & NON-NEGL. MANSLAUGHTER,40.869301715,-73.889511247,01:08:00
5290340,MURDER & NON-NEGL. MANSLAUGHTER,40.805182009,-73.9186305,23:43:00
5292395,MURDER & NON-NEGL. MANSLAUGHTER,40.660436625,-73.939773355,09:15:00
5292644,MURDER & NON-NEGL. MANSLAUGHTER,40.674063439,-73.912535702,01:30:00
5295891,MURDER & NON-NEGL. MANSLAUGHTER,40.668403867,-73.869286157,20:21:00
5295930,MURDER & NON-NEGL. MANSLAUGHTER,40.623960368,-73.938282477,19:50:00
5296581,MURDER & NON-NEGL. MANSLAUGHTER,40.64173826,-74.075678037,01:46:00
5297067,MURDER & NON-NEGL. MANSLAUGHTER,40.649091472,-73.955776823,22:18:00
5297861,MURDER & NON-NEGL. MANSLAUGHTER,40.750294976,-73.822805246,12:00:00
5297923,MURDER & NON-NEGL. MANSLAUGHTER,40.836843178,-73.850809958,02:05:00
5298576,MURDER & NON-NEGL. MANSLAUGHTER,40.65381516,-73.853205037,23:39:00
5298814,MURDER & NON-NEGL. MANSLAUGHTER,40.842328579,-73.885739479,17:40:00
5299362,MURDER & NON-NEGL. MANSLAUGHTER,40.68469984,-73.924744826,01:08:00
5300067,MURDER & NON-NEGL. MANSLAUGHTER,40.736984449,-73.809998125,19:15:00
5302973,MURDER & NON-NEGL. MANSLAUGHTER,40.738838819,-73.926700862,07:20:00
5303200,MURDER & NON-NEGL. MANSLAUGHTER,40.681803475,-73.923789039,01:20:00
5306350,MURDER & NON-NEGL. MANSLAUGHTER,40.764463103,-73.831774379,23:40:00
5307229,MURDER & NON-NEGL. MANSLAUGHTER,40.67013835,-73.908925194,04:03:00
5307415,MURDER & NON-NEGL. MANSLAUGHTER,40.67013835,-73.908925194,04:03:00
5309369,MURDER & NON-NEGL. MANSLAUGHTER,40.692389705,-73.793764553,21:37:00
5309949,MURDER & NON-NEGL. MANSLAUGHTER,40.845984791,-73.907462791,05:05:00
5309950,MURDER & NON-NEGL. MANSLAUGHTER,40.845984791,-73.907462791,05:05:00
5310007,MURDER & NON-NEGL. MANSLAUGHTER,40.870142434,-73.869305409,02:44:00
5312814,MURDER & NON-NEGL. MANSLAUGHTER,40.831578538,-73.927697229,01:45:00
5313479,MURDER & NON-NEGL. MANSLAUGHTER,40.618091468,-74.027852316,19:19:00
5315465,MURDER & NON-NEGL. MANSLAUGHTER,40.839739531,-73.913178032,06:00:00
5315622,MURDER & NON-NEGL. MANSLAUGHTER,40.695140908,-73.975125947,00:02:00
5316972,MURDER & NON-NEGL. MANSLAUGHTER,40.689111202,-73.945058895,01:25:00
5317605,MURDER & NON-NEGL. MANSLAUGHTER,40.819856355,-73.920140835,23:53:00
5317712,MURDER & NON-NEGL. MANSLAUGHTER,40.67500776,-74.006577149,20:17:00
5319567,MURDER & NON-NEGL. MANSLAUGHTER,40.672789843,-73.773651622,12:12:00
5321139,MURDER & NON-NEGL. MANSLAUGHTER,40.764694063,-73.914348014,04:11:00
5321217,MURDER & NON-NEGL. MANSLAUGHTER,40.651998977,-73.944869621,02:17:00
5322481,MURDER & NON-NEGL. MANSLAUGHTER,40.815720251,-73.864502585,02:17:00
5323846,MURDER & NON-NEGL. MANSLAUGHTER,40.682140409,-73.826891092,00:14:00
5330709,MURDER & NON-NEGL. MANSLAUGHTER,40.680536156,-73.957086365,00:40:00
5331821,MURDER & NON-NEGL. MANSLAUGHTER,40.88443116,-73.833004197,02:11:00
5337086,MURDER & NON-NEGL. MANSLAUGHTER,40.801063787,-73.950481913,02:05:00
